time,x,y,z
2432,-5,79,-1
2435,34,-4,-38
2438,23,-59,-20
2441,9,-64,9
2444,25,-64,42
2447,18,-54,-23
2450,-22,-21,-15
2453,-44,31,4
2456,-32,4,20
2459,-21,-19,13
2462,-6,-48,18
2465,50,-35,2
2468,53,-2,-41
2471,4,112,-61
2474,-16,153,-44
2477,-55,375,13
2480,-305,292,-25
2483,-164,-275,29
2486,45,-280,-33
2489,220,-285,-16
2492,250,-447,-179
2495,367,-528,572
2498,274,-810,1478
2501,80,-695,233
2504,-38,495,-654
2507,-811,1349,-2561
2510,-532,560,-2136
2513,135,-570,-558
2516,223,314,360
2519,27,1192,1267
2521,-419,1187,2661
2524,-431,713,2419
2527,-458,107,1449
2530,397,-648,-1245
2533,551,-1087,-1947
2536,449,-975,-1520
2539,3,-737,-760
2542,-265,234,26
2545,-142,199,285
2548,44,-365,358
2551,403,-180,709
2554,239,-314,758
2557,-33,387,782
2560,-329,540,801
2563,-305,891,573
2567,12,501,-261
2569,112,-306,-1033
2573,50,-217,-1197
2576,52,-359,-202
2579,144,59,311
2582,75,208,564
2584,-144,400,576
2587,-190,153,287
2590,-185,-539,-123
2593,-15,-362,-284
2596,109,-34,-322
2599,97,236,-66
2602,96,226,-22
2605,71,306,3
2608,111,72,146
2611,60,45,324
2613,-7,-345,536
2616,-49,56,304
2619,-168,245,-44
2622,-152,47,-495
2625,-124,26,-605
2628,36,-72,-349
2631,261,-228,-48
2634,267,-320,1
2637,105,54,130
2640,-146,397,247
2643,-218,420,201
2646,-162,94,98
2649,-160,-43,-13
2652,-24,-280,13
2655,141,-139,31
2658,122,76,-32
2662,88,184,-134
2664,32,53,-121
2667,-11,-145,34
2670,-63,-321,177
2673,148,-478,93
2676,117,-17,16
2679,37,378,-5
2683,-202,199,-151
2686,-303,88,-14
2689,-168,110,-6
2692,-11,121,-51
2695,256,33,-82
2697,267,11,-14
2700,184,121,15
2704,-47,4,66
2706,-98,-193,68
2709,-71,-157,144
2712,-7,-234,167
2715,9,-116,140
2718,-71,-5,113
2721,-100,160,-5
2724,91,48,-304
2727,174,-13,-279
2730,136,-100,-9
2733,88,-41,-1
2736,-27,116,-34
2740,-220,281,36
2742,-246,334,163
2746,-61,142,163
2749,59,-336,-157
2752,110,-315,-206
2755,94,-167,-142
2758,31,45,7
2761,46,122,144
2763,91,135,160
2766,77,-170,18
2769,-13,-263,-23
2772,-93,-188,-28
2775,-78,-29,36
2778,-48,175,54
2781,-106,138,-65
2784,-78,177,-179
2787,-21,71,-58
2790,79,23,68
2793,124,26,128
2796,156,-10,-9
2799,86,85,-144
2801,2,73,-167
2805,-78,-85,-55
2808,-67,-237,182
2811,-100,-259,223
2814,-51,-141,265
2817,49,76,53
2820,63,96,-18
2823,38,-34,-139
2826,62,-73,-245
2829,77,12,-153
2832,12,52,-23
2835,-3,60,145
2838,-114,99,191
2841,-114,94,79
2844,-96,81,-77
2847,-70,121,-171
2850,-33,62,-76
2853,13,-81,130
2855,90,-139,134
2858,135,-30,54
2862,193,8,-103
2865,131,-56,-135
2868,-79,-85,131
2871,-139,-107,178
2874,-122,-126,20
2877,-75,-52,-110
2880,-25,127,-77
2883,17,83,20
2885,33,70,73
2888,27,27,-60
2891,77,21,-86
2894,82,69,-79
2897,26,166,-30
2900,-44,166,0
2903,-96,-11,14
2906,-121,-168,30
2909,-95,-210,106
2912,7,-202,149
2915,57,-133,119
2918,81,25,-89
2921,68,42,-116
2924,58,125,-68
2927,23,78,15
2930,15,45,26
2933,-9,-119,-21
2936,-24,-127,-27
2939,-44,49,2
2942,-57,158,-5
2945,-68,189,-5
2948,-22,73,32
2951,0,19,-27
2954,95,-58,-19
2957,98,2,7
2959,108,-9,-19
2962,21,-78,15
2965,-19,-115,31
2968,-57,-122,21
2971,-112,-70,52
2974,-113,1,64
2977,-9,106,11
2980,63,69,13
2983,90,-42,-16
2986,52,-52,-92
2989,10,10,-18
2993,21,64,-10
2996,39,191,5
2999,-12,142,-5
3002,-64,-41,-23
3005,-133,-148,6
3008,-75,-186,51
3011,42,-58,8
3014,56,-5,17
3017,63,-105,14
3020,280,-63,8
3023,453,-313,3
3025,559,-148,519
3028,627,-25,766
3031,723,-160,467
3034,166,-757,354
3037,-885,-1041,179
3040,-1910,335,-995
3043,-1598,1319,-946
3046,-745,1559,-763
3049,1036,2001,23
3052,1153,1351,197
3055,772,-482,-195
3058,-505,-532,-57
3061,-379,188,290
3064,-115,924,87
3067,142,343,-107
3070,242,-809,-413
3073,307,-1086,-219
3076,254,-1065,314
3079,84,-698,442
3082,93,-91,615
3085,378,351,290
3087,446,307,-72
3090,331,-95,-384
3093,-17,-896,-288
3096,-243,-385,-18
3099,-458,195,425
3102,-373,730,308
3105,-249,459,218
3108,13,254,-361
3111,56,263,-544
3114,100,-10,-117
3117,87,158,49
3120,54,182,172
3123,100,7,160
3125,37,36,99
3128,27,-240,94
3131,22,-756,-118
3134,-8,-396,-59
3137,-55,249,-62
3140,121,308,-95
3143,56,113,-149
3146,-8,133,18
3149,-40,150,140
3152,-55,0,332
3154,-128,169,126
3157,-40,97,-138
3160,19,81,-312
3164,31,-219,-159
3167,-1,-119,300
3170,-66,33,99
3173,-9,207,-108
3176,197,-208,-71
3179,202,-340,67
3182,-6,-160,-3
3185,-31,-25,-161
3188,-75,231,-75
3191,-132,380,15
3193,-119,391,182
3196,-18,-37,176
3199,11,-241,40
3202,35,-246,-65
3205,13,125,-134
3208,-10,173,-93
3211,30,-96,-39
3214,48,-221,59
3217,29,-231,91
3220,33,-114,54
3223,60,-131,121
3225,60,118,92
3229,-5,202,-101
3232,-15,107,-253
3235,-96,108,-101
3238,-55,55,57
3240,-71,269,252
3243,2,127,55
3246,37,-73,-116
3249,106,-303,-123
3252,53,-143,16
3255,1,-65,162
3259,15,-31,32
3261,9,31,-75
3265,-20,59,-61
3268,-46,-77,81
3271,-10,-76,13
3274,-13,52,-91
3277,73,98,-105
3280,88,50,-37
3283,13,6,36
3286,-100,0,80
3289,-70,57,-39
3292,-22,-20,-13
3295,9,-30,22
3298,31,-124,-61
3301,36,-186,-33
3304,28,-149,48
3307,58,-94,80
3310,57,95,8
3312,-42,290,-40
3315,-94,113,-9
3318,-66,-188,-55
3322,0,-200,110
3325,-4,-129,85
3328,-10,90,-70
3331,4,191,-10
3334,-21,193,36
3337,9,14,0
3339,38,-189,-65
3342,51,-59,-15
3345,27,7,-17
3348,10,-45,-16
3351,17,-14,46
